file,line,type,args,responsibility
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,361,MessageAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,390,ChatRunAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,429,ChatRunAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,434,MessageAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,468,ApplicationException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,479,ApplicationException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,482,ChatRunAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,484,ChatRunAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,488,MessageAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,516,ApplicationException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,522,ChatRunAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,530,ApplicationException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,539,HashSet,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,540,ApplicationException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,544,MessageAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/chat/workflow/ChatFlow.java,550,ConversationAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/file/assembler/FileCommandAssembler.java,24,FileCommand,4,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/file/assembler/FileCommandAssembler.java,35,FileCommand,4,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/file/assembler/FileCommandAssembler.java,46,FileCommand,4,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,63,ThreadPoolExecutor,7,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,68,ArrayBlockingQueue,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,71,Thread,2,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,77,AbortPolicy,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,142,OutboxEventAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,150,OutboxEventAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,187,IllegalArgumentException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,228,EmailChallengeAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,236,ApplicationException,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/BackgroundJobs.java,269,OutboxEventAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/RetentionJobs.java,91,EmailChallengeAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/jobs/workflow/RetentionJobs.java,123,LoginSessionAggregate,1,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/KnowledgeApplicationAssembler.java,37,DocumentResult,7,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/KnowledgeApplicationAssembler.java,65,KnowledgeResult,3,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/KnowledgeApplicationAssembler.java,79,KnowledgeResult,3,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/VectorCommandAssembler.java,28,VectorCommand,6,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/VectorCommandAssembler.java,41,VectorCommand,6,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/VectorCommandAssembler.java,61,VectorCommand,6,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/VectorCommandAssembler.java,80,VectorCommand,6,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/assembler/VectorCommandAssembler.java,102,VectorItemCommand,6,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/workflow/KnowledgeFlow.java,79,ApplicationException,1,application_orchestration
