file,package,constructors,mapping_calls,long_constructors,review_category
hello-travel-application/src/main/java/com/hellotravel/application/travel/adaptor/TravelOutAdaptor.java,com.hellotravel.application.travel.adaptor,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/travel/assembler/TravelCommandAssembler.java,com.hellotravel.application.travel.assembler,1,1,0,layer_assembler
hello-travel-application/src/main/java/com/hellotravel/application/travel/command/TravelCommand.java,com.hellotravel.application.travel.command,0,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/travel/workflow/RunCoordinator.java,com.hellotravel.application.travel.workflow,21,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/travel/workflow/TravelGraph.java,com.hellotravel.application.travel.workflow,9,0,0,application_orchestration
hello-travel-application/src/main/java/com/hellotravel/application/tx/Transactions.java,com.hellotravel.application.tx,8,0,0,application_orchestration
hello-travel-client/src/main/java/com/hellotravel/client/auth/request/AuthRequest.java,com.hellotravel.client.auth.request,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/auth/response/AuthResponse.java,com.hellotravel.client.auth.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/chat/request/ChatRequest.java,com.hellotravel.client.chat.request,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/chat/response/ChatResponse.java,com.hellotravel.client.chat.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/chat/response/ConversationResponse.java,com.hellotravel.client.chat.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/chat/response/MessageResponse.java,com.hellotravel.client.chat.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/chat/response/RunResponse.java,com.hellotravel.client.chat.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/knowledge/request/KnowledgeRequest.java,com.hellotravel.client.knowledge.request,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/knowledge/response/DocumentResponse.java,com.hellotravel.client.knowledge.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/knowledge/response/KnowledgeResponse.java,com.hellotravel.client.knowledge.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/sync/response/SyncEventResponse.java,com.hellotravel.client.sync.response,0,0,0,public_contract
hello-travel-client/src/main/java/com/hellotravel/client/sync/response/SyncResponse.java,com.hellotravel.client.sync.response,0,0,0,public_contract
hello-travel-common/src/main/java/com/hellotravel/common/error/BaseException.java,com.hellotravel.common.error,0,0,0,common_or_start
hello-travel-common/src/main/java/com/hellotravel/common/error/ErrorCode.java,com.hellotravel.common.error,0,0,0,common_or_start
hello-travel-common/src/main/java/com/hellotravel/common/error/Failures.java,com.hellotravel.common.error,0,0,0,common_or_start
hello-travel-common/src/main/java/com/hellotravel/common/identity/Ids.java,com.hellotravel.common.identity,4,0,0,common_or_start
hello-travel-common/src/main/java/com/hellotravel/common/result/Result.java,com.hellotravel.common.result,3,0,0,common_or_start
hello-travel-domain/src/main/java/com/hellotravel/domain/annotation/DomainService.java,com.hellotravel.domain.annotation,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/aggregate/DeviceAggregate.java,com.hellotravel.domain.auth.model.aggregate,3,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/aggregate/EmailChallengeAggregate.java,com.hellotravel.domain.auth.model.aggregate,6,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/aggregate/LoginSessionAggregate.java,com.hellotravel.domain.auth.model.aggregate,5,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/aggregate/RefreshReceiptAggregate.java,com.hellotravel.domain.auth.model.aggregate,3,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/aggregate/UserAccountAggregate.java,com.hellotravel.domain.auth.model.aggregate,5,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/entity/DeviceEntity.java,com.hellotravel.domain.auth.model.entity,4,0,1,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/entity/EmailChallengeEntity.java,com.hellotravel.domain.auth.model.entity,7,0,4,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/entity/LoginSessionEntity.java,com.hellotravel.domain.auth.model.entity,10,0,3,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/entity/RefreshReceiptEntity.java,com.hellotravel.domain.auth.model.entity,2,0,1,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/entity/UserAccountEntity.java,com.hellotravel.domain.auth.model.entity,7,0,3,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/model/value/SessionCredentialsValue.java,com.hellotravel.domain.auth.model.value,1,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/repository/DeviceRepository.java,com.hellotravel.domain.auth.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/repository/EmailChallengeRepository.java,com.hellotravel.domain.auth.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/repository/LoginSessionRepository.java,com.hellotravel.domain.auth.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/repository/RefreshReceiptRepository.java,com.hellotravel.domain.auth.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/auth/repository/UserAccountRepository.java,com.hellotravel.domain.auth.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/aggregate/ChatRunAggregate.java,com.hellotravel.domain.chat.model.aggregate,7,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/aggregate/ConversationAggregate.java,com.hellotravel.domain.chat.model.aggregate,6,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/aggregate/MessageAggregate.java,com.hellotravel.domain.chat.model.aggregate,6,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/aggregate/ModelInvocationAggregate.java,com.hellotravel.domain.chat.model.aggregate,6,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/entity/ChatRunEntity.java,com.hellotravel.domain.chat.model.entity,13,0,5,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/entity/ConversationEntity.java,com.hellotravel.domain.chat.model.entity,11,0,4,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/entity/MessageEntity.java,com.hellotravel.domain.chat.model.entity,12,0,4,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/model/entity/ModelInvocationEntity.java,com.hellotravel.domain.chat.model.entity,8,0,4,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/repository/ChatRunRepository.java,com.hellotravel.domain.chat.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/repository/ConversationRepository.java,com.hellotravel.domain.chat.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/repository/MessageRepository.java,com.hellotravel.domain.chat.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/chat/repository/ModelInvocationRepository.java,com.hellotravel.domain.chat.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/exception/DomainErrorCode.java,com.hellotravel.domain.exception,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/exception/DomainException.java,com.hellotravel.domain.exception,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/aggregate/IndexJobAggregate.java,com.hellotravel.domain.knowledge.model.aggregate,5,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/aggregate/KnowledgeChunkAggregate.java,com.hellotravel.domain.knowledge.model.aggregate,5,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/aggregate/KnowledgeDocumentAggregate.java,com.hellotravel.domain.knowledge.model.aggregate,6,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/entity/IndexJobEntity.java,com.hellotravel.domain.knowledge.model.entity,9,0,3,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/entity/KnowledgeChunkEntity.java,com.hellotravel.domain.knowledge.model.entity,9,0,3,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/entity/KnowledgeDocumentEntity.java,com.hellotravel.domain.knowledge.model.entity,10,0,4,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/model/value/EmbeddingProfileValue.java,com.hellotravel.domain.knowledge.model.value,2,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/repository/IndexJobRepository.java,com.hellotravel.domain.knowledge.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/repository/KnowledgeChunkRepository.java,com.hellotravel.domain.knowledge.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/knowledge/repository/KnowledgeDocumentRepository.java,com.hellotravel.domain.knowledge.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/aggregate/MemoryFactAggregate.java,com.hellotravel.domain.memory.model.aggregate,5,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/aggregate/MemoryFactSourceAggregate.java,com.hellotravel.domain.memory.model.aggregate,3,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/aggregate/MemorySummaryAggregate.java,com.hellotravel.domain.memory.model.aggregate,4,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/entity/MemoryFactEntity.java,com.hellotravel.domain.memory.model.entity,7,0,3,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/entity/MemoryFactSourceEntity.java,com.hellotravel.domain.memory.model.entity,3,0,1,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/entity/MemorySummaryEntity.java,com.hellotravel.domain.memory.model.entity,6,0,2,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/value/ContextBudgetValue.java,com.hellotravel.domain.memory.model.value,4,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/model/value/FactProposalValue.java,com.hellotravel.domain.memory.model.value,2,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/repository/MemoryFactRepository.java,com.hellotravel.domain.memory.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/repository/MemoryFactSourceRepository.java,com.hellotravel.domain.memory.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/memory/repository/MemorySummaryRepository.java,com.hellotravel.domain.memory.repository,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/ChatRunRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/ChatRunWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/ConversationRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/ConversationWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/DeviceRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/DeviceWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/EmailChallengeRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/EmailChallengeWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/IndexJobRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/IndexJobWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/KnowledgeChunkRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/KnowledgeChunkWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/KnowledgeDocumentRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/KnowledgeDocumentWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/LoginSessionRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/LoginSessionWriteParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/MemoryFactRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/model/param/MemoryFactSourceRemoveParam.java,com.hellotravel.domain.persistence.model.param,0,0,0,domain_model_or_decision
